product_id,product_name,category,subcategory,unit_price,cost_price,supplier_name,stock_quantity,launch_date,product_rating,active_flag
P0001,Laptop Model 001,Electronics,Electronics Sub-2,167.30,93.69,Prime Traders,13,2022-01-10,3.2,Y
P0002,Shirt Model 002,Fashion,Fashion Sub-3,184.60,105.22,Global Mart,26,2022-01-19,3.9,Y
P0003,Rice Model 003,Grocery,Grocery Sub-4,201.90,117.10,Vertex Goods,39,2022-01-28,4.6,Y
P0004,Chair Model 004,Home,Home Sub-1,219.20,129.33,Metro Wholesale,52,2022-02-06,2.8,Y
P0005,Football Model 005,Sports,Sports Sub-2,236.50,141.90,Nova Supply,65,2022-02-15,3.5,Y
P0006,Monitor Model 006,Electronics,Electronics Sub-3,253.80,154.82,Prime Traders,78,2022-02-24,4.2,Y
P0007,Jeans Model 007,Fashion,Fashion Sub-4,271.10,168.08,Global Mart,91,2022-03-05,4.9,Y
P0008,Oil Model 008,Grocery,Grocery Sub-1,288.40,181.69,Vertex Goods,104,2022-03-14,3.1,Y
P0009,Table Model 009,Home,Home Sub-2,305.70,195.65,Metro Wholesale,117,2022-03-23,3.8,Y
P0010,Yoga Mat Model 010,Sports,Sports Sub-3,323.00,209.95,Nova Supply,130,2022-04-01,4.5,Y
P0011,Keyboard Model 011,Electronics,Electronics Sub-4,340.30,224.60,Prime Traders,143,2022-04-10,2.7,Y
P0012,Jacket Model 012,Fashion,Fashion Sub-1,357.60,239.59,Global Mart,156,2022-04-19,3.4,Y
P0013,Tea Model 013,Grocery,Grocery Sub-2,374.90,254.93,Vertex Goods,169,2022-04-28,4.1,Y
P0014,Lamp Model 014,Home,Home Sub-3,392.20,270.62,Metro Wholesale,182,2022-05-07,4.8,Y
P0015,Dumbbell Model 015,Sports,Sports Sub-4,409.50,286.65,Nova Supply,195,2022-05-16,3.0,Y
P0016,Mouse Model 016,Electronics,Electronics Sub-1,426.80,303.03,Prime Traders,208,2022-05-25,3.7,Y
P0017,Shoes Model 017,Fashion,Fashion Sub-2,444.10,319.75,Global Mart,221,2022-06-03,4.4,Y
P0018,Coffee Model 018,Grocery,Grocery Sub-3,461.40,336.82,Vertex Goods,234,2022-06-12,2.6,Y
P0019,Mixer Model 019,Home,Home Sub-4,478.70,354.24,Metro Wholesale,247,2022-06-21,3.3,Y
P0020,Tennis Racket Model 020,Sports,Sports Sub-1,496.00,272.80,Nova Supply,10,2022-06-30,4.0,Y
